item,name,category,rarity,stack,unit_price,unit_matcost,ratio_pct,leveling
43252,Windfire Band,GEAR,VENDOR,1,72128,112000,64,1
43252,Windfire Band,GEAR,VENDOR,1,69964,112000,62,1
43252,Windfire Band,GEAR,VENDOR,1,67865,112000,60,1
43252,Windfire Band,GEAR,VENDOR,1,72128,112000,64,1
43252,Windfire Band,GEAR,VENDOR,1,69964,112000,62,1
43252,Windfire Band,GEAR,VENDOR,1,67865,112000,60,1
43252,Windfire Band,GEAR,VENDOR,1,72128,112000,64,1
43252,Windfire Band,GEAR,VENDOR,1,69964,112000,62,1
43252,Windfire Band,GEAR,VENDOR,1,67865,112000,60,1
43252,Windfire Band,GEAR,VENDOR,1,72128,112000,64,1
43252,Windfire Band,GEAR,VENDOR,1,69964,112000,62,1
43252,Windfire Band,GEAR,VENDOR,1,67865,112000,60,1
23785,Hardened Adamantite Tube,INTERMEDIATE,TRAINER,6,1,3,33,1
23785,Hardened Adamantite Tube,INTERMEDIATE,TRAINER,5,1,3,33,1
25650,Knothide Armor Kit,MISC,TRAINER,7,18868,20000,94,1
34766,Poached Northern Sculpin,FOOD,VENDOR,15,30,49,61,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2578,3200,80,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2474,3200,77,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2578,3200,80,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2474,3200,77,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2578,3200,80,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2474,3200,77,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2578,3200,80,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2474,3200,77,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2578,3200,80,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2474,3200,77,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2578,3200,80,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,10,2474,3200,77,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,4,2578,3200,80,1
22573,Mote of Earth,INTERMEDIATE,TRAINER,6,2474,3200,77,1
21887,Knothide Leather,INTERMEDIATE,TRAINER,2,6060,7500,80,1
21887,Knothide Leather,INTERMEDIATE,TRAINER,8,5938,7500,79,1
41510,Bolt of Frostweave,INTERMEDIATE,TRAINER,4,30937,37500,82,1
41510,Bolt of Frostweave,INTERMEDIATE,TRAINER,1,29390,37500,78,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,2,69,96,71,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,4,66,96,68,1
42337,Sun Rock Ring,GEAR,TRAINER,1,20179,24800,81,1
42337,Sun Rock Ring,GEAR,TRAINER,1,19170,24800,77,1
42337,Sun Rock Ring,GEAR,TRAINER,1,18978,24800,76,1
42337,Sun Rock Ring,GEAR,TRAINER,1,20179,24800,81,1
42337,Sun Rock Ring,GEAR,TRAINER,1,19170,24800,77,1
42337,Sun Rock Ring,GEAR,TRAINER,1,18978,24800,76,1
42337,Sun Rock Ring,GEAR,TRAINER,1,20179,24800,81,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7405,9280,79,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7034,9280,75,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,6752,9280,72,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7405,9280,79,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7034,9280,75,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,6752,9280,72,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7405,9280,79,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7034,9280,75,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,6752,9280,72,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7405,9280,79,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7034,9280,75,1
38425,Heavy Borean Leather,INTERMEDIATE,TRAINER,2,39160,54000,72,1
38425,Heavy Borean Leather,INTERMEDIATE,TRAINER,7,37593,54000,69,1
41163,Titanium Bar,INTERMEDIATE,TRAINER,3,20492,20000,102,1
41163,Titanium Bar,INTERMEDIATE,TRAINER,3,20082,20000,100,1
41601,Shining Spellthread,MISC,TRAINER,10,102835,124800,82,1
23785,Hardened Adamantite Tube,INTERMEDIATE,TRAINER,1,2,3,66,1
23785,Hardened Adamantite Tube,INTERMEDIATE,TRAINER,4,1,3,33,1
10008,White Bandit Mask,GEAR,DROP,1,4342,6023,72,1
10008,White Bandit Mask,GEAR,DROP,1,4298,6023,71,1
10008,White Bandit Mask,GEAR,DROP,1,4342,6023,72,1
10008,White Bandit Mask,GEAR,DROP,1,4298,6023,71,1
10008,White Bandit Mask,GEAR,DROP,1,4342,6023,72,1
10008,White Bandit Mask,GEAR,DROP,1,4298,6023,71,1
10008,White Bandit Mask,GEAR,DROP,1,4342,6023,72,1
10008,White Bandit Mask,GEAR,DROP,1,4298,6023,71,1
10008,White Bandit Mask,GEAR,DROP,1,4342,6023,72,1
10008,White Bandit Mask,GEAR,DROP,1,4298,6023,71,1
10008,White Bandit Mask,GEAR,DROP,1,4342,6023,72,1
23517,Felsteel Gloves,GEAR,DROP,1,4,6,66,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,4,6,66,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,4,6,66,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,4,6,66,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7335,9280,79,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7041,9280,75,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7335,9280,79,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7041,9280,75,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7335,9280,79,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7041,9280,75,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7335,9280,79,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7041,9280,75,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7335,9280,79,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7041,9280,75,1
32836,Purified Shadow Pearl,GEM_CUT,TRAINER,1,7335,9280,79,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,20,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,10,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,3,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,20,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,4,1,0,0,1
46379,Flask of Stoneblood,FLASK,TRAINER,5,55411,56600,97,1
46379,Flask of Stoneblood,FLASK,TRAINER,5,53748,56600,94,1
46379,Flask of Stoneblood,FLASK,TRAINER,5,51060,56600,90,1
46379,Flask of Stoneblood,FLASK,TRAINER,11,55411,56600,97,1
23518,Felsteel Leggings,GEAR,DROP,1,5,8,62,1
23518,Felsteel Leggings,GEAR,DROP,1,4,8,50,1
23518,Felsteel Leggings,GEAR,DROP,1,4,8,50,1
23518,Felsteel Leggings,GEAR,DROP,1,5,8,62,1
23518,Felsteel Leggings,GEAR,DROP,1,4,8,50,1
23518,Felsteel Leggings,GEAR,DROP,1,4,8,50,1
23518,Felsteel Leggings,GEAR,DROP,1,5,8,62,1
