item,name,category,rarity,stack,unit_price,unit_matcost,ratio_pct,leveling
4339,Bolt of Mageweave,INTERMEDIATE,TRAINER,4,3649,5050,72,1
4339,Bolt of Mageweave,INTERMEDIATE,TRAINER,4,3576,5050,70,1
23787,Felsteel Stabilizer,INTERMEDIATE,TRAINER,3,1,2,50,1
23787,Felsteel Stabilizer,INTERMEDIATE,TRAINER,10,1,2,50,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,197,254,77,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,189,254,74,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,187,254,73,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,177,254,69,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,197,254,77,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,189,254,74,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,187,254,73,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,177,254,69,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,197,254,77,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,189,254,74,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,187,254,73,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,177,254,69,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,197,254,77,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,189,254,74,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,187,254,73,1
24270,Bag of Jewels,BAG,VENDOR,1,14144,20006,70,1
24270,Bag of Jewels,BAG,VENDOR,1,13436,20006,67,1
24270,Bag of Jewels,BAG,VENDOR,1,12764,20006,63,1
24270,Bag of Jewels,BAG,VENDOR,1,14144,20006,70,1
24270,Bag of Jewels,BAG,VENDOR,1,13436,20006,67,1
24270,Bag of Jewels,BAG,VENDOR,1,12764,20006,63,1
24270,Bag of Jewels,BAG,VENDOR,1,14144,20006,70,1
24270,Bag of Jewels,BAG,VENDOR,1,13436,20006,67,1
24270,Bag of Jewels,BAG,VENDOR,1,12764,20006,63,1
24270,Bag of Jewels,BAG,VENDOR,1,14144,20006,70,1
24270,Bag of Jewels,BAG,VENDOR,1,13436,20006,67,1
24270,Bag of Jewels,BAG,VENDOR,1,12764,20006,63,1
24270,Bag of Jewels,BAG,VENDOR,1,14144,20006,70,1
24270,Bag of Jewels,BAG,VENDOR,1,13436,20006,67,1
24270,Bag of Jewels,BAG,VENDOR,1,12764,20006,63,1
23106,Dazzling Deep Peridot,GEM_CUT,VENDOR,1,18530,20000,92,1
23106,Dazzling Deep Peridot,GEM_CUT,VENDOR,1,18159,20000,90,1
23106,Dazzling Deep Peridot,GEM_CUT,VENDOR,1,18530,20000,92,1
23106,Dazzling Deep Peridot,GEM_CUT,VENDOR,1,18159,20000,90,1
23106,Dazzling Deep Peridot,GEM_CUT,VENDOR,1,18530,20000,92,1
14048,Bolt of Runecloth,INTERMEDIATE,TRAINER,9,7674,11880,64,1
14048,Bolt of Runecloth,INTERMEDIATE,TRAINER,6,7367,11880,62,1
14342,Mooncloth,INTERMEDIATE,VENDOR,10,14082,15200,92,1
22522,Superior Wizard Oil,MISC,VENDOR,1,22080,26039,84,1
22522,Superior Wizard Oil,MISC,VENDOR,1,21859,26039,83,1
22522,Superior Wizard Oil,MISC,VENDOR,1,20984,26039,80,1
22522,Superior Wizard Oil,MISC,VENDOR,1,22080,26039,84,1
22522,Superior Wizard Oil,MISC,VENDOR,1,21859,26039,83,1
22522,Superior Wizard Oil,MISC,VENDOR,1,20984,26039,80,1
22522,Superior Wizard Oil,MISC,VENDOR,1,22080,26039,84,1
22522,Superior Wizard Oil,MISC,VENDOR,1,21859,26039,83,1
22522,Superior Wizard Oil,MISC,VENDOR,1,20984,26039,80,1
22522,Superior Wizard Oil,MISC,VENDOR,1,22080,26039,84,1
22522,Superior Wizard Oil,MISC,VENDOR,1,21859,26039,83,1
24268,Netherweave Net,MISC,TRAINER,12,5955,7200,82,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,1,85,96,88,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,4,82,96,85,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,20,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,7,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,9,1,0,0,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,1,75,96,78,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,11,73,96,76,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,14,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,4,1,0,0,1
23785,Hardened Adamantite Tube,INTERMEDIATE,TRAINER,2,1,3,33,1
23785,Hardened Adamantite Tube,INTERMEDIATE,TRAINER,3,1,3,33,1
6787,White Woolen Dress,GEAR,TRAINER,1,1383,1424,97,1
6787,White Woolen Dress,GEAR,TRAINER,1,1341,1424,94,1
6787,White Woolen Dress,GEAR,TRAINER,1,1273,1424,89,1
6787,White Woolen Dress,GEAR,TRAINER,1,1383,1424,97,1
6787,White Woolen Dress,GEAR,TRAINER,1,1341,1424,94,1
6371,Fire Oil,INTERMEDIATE,TRAINER,2,46,64,71,1
6371,Fire Oil,INTERMEDIATE,TRAINER,7,45,64,70,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,6,91,96,94,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,3,90,96,93,1
6787,White Woolen Dress,GEAR,TRAINER,1,1140,1424,80,1
6787,White Woolen Dress,GEAR,TRAINER,1,1094,1424,76,1
6787,White Woolen Dress,GEAR,TRAINER,1,1061,1424,74,1
6787,White Woolen Dress,GEAR,TRAINER,1,1140,1424,80,1
6787,White Woolen Dress,GEAR,TRAINER,1,1094,1424,76,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,8,79,96,82,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,6,75,96,78,1
23519,Felsteel Helm,GEAR,DROP,1,5,8,62,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,5,8,62,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,5,8,62,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,5,8,62,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,5,8,62,1
23785,Hardened Adamantite Tube,INTERMEDIATE,TRAINER,2,2,3,66,1
23785,Hardened Adamantite Tube,INTERMEDIATE,TRAINER,6,1,3,33,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,1272,1424,89,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,1246,1424,87,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,1208,1424,84,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,1272,1424,89,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,1246,1424,87,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,1208,1424,84,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,1272,1424,89,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,1246,1424,87,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,1208,1424,84,1
40195,Pygmy Oil,INTERMEDIATE,TRAINER,4,282,300,94,1
40195,Pygmy Oil,INTERMEDIATE,TRAINER,11,273,300,91,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,3,80,96,83,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,8,78,96,81,1
24268,Netherweave Net,MISC,TRAINER,20,5765,7200,80,1
24268,Netherweave Net,MISC,TRAINER,8,5476,7200,76,1
23517,Felsteel Gloves,GEAR,DROP,1,5,6,83,1
23517,Felsteel Gloves,GEAR,DROP,1,4,6,66,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,3,6,50,1
23517,Felsteel Gloves,GEAR,DROP,1,5,6,83,1
23517,Felsteel Gloves,GEAR,DROP,1,4,6,66,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,20,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,20,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,1,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,1,1,0,0,1
41367,Dark Jade Focusing Lens,MISC,TRAINER,1,19344,20000,96,1
41367,Dark Jade Focusing Lens,MISC,TRAINER,1,18957,20000,94,1
41367,Dark Jade Focusing Lens,MISC,TRAINER,1,18009,20000,90,1
41367,Dark Jade Focusing Lens,MISC,TRAINER,1,17828,20000,89,1
41367,Dark Jade Focusing Lens,MISC,TRAINER,1,19344,20000,96,1
23787,Felsteel Stabilizer,INTERMEDIATE,TRAINER,2,1,2,50,1
23787,Felsteel Stabilizer,INTERMEDIATE,TRAINER,11,1,2,50,1
10008,White Bandit Mask,GEAR,DROP,1,5261,6023,87,1
10008,White Bandit Mask,GEAR,DROP,1,5103,6023,84,1
10008,White Bandit Mask,GEAR,DROP,1,4949,6023,82,1
10008,White Bandit Mask,GEAR,DROP,1,5261,6023,87,1
10008,White Bandit Mask,GEAR,DROP,1,5103,6023,84,1
10008,White Bandit Mask,GEAR,DROP,1,4949,6023,82,1
10008,White Bandit Mask,GEAR,DROP,1,5261,6023,87,1
10008,White Bandit Mask,GEAR,DROP,1,5103,6023,84,1
21752,Thorium Setting,INTERMEDIATE,TRAINER,5,1306,1545,84,1
21752,Thorium Setting,INTERMEDIATE,TRAINER,3,1266,1545,81,1
24269,Heavy Netherweave Net,MISC,UNSOURCED,16,13374,14400,92,1
21752,Thorium Setting,INTERMEDIATE,TRAINER,2,1245,1545,80,1
21752,Thorium Setting,INTERMEDIATE,TRAINER,11,1195,1545,77,1
23519,Felsteel Helm,GEAR,DROP,1,6,8,75,1
23519,Felsteel Helm,GEAR,DROP,1,5,8,62,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,6,8,75,1
23519,Felsteel Helm,GEAR,DROP,1,5,8,62,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,6,8,75,1
23519,Felsteel Helm,GEAR,DROP,1,5,8,62,1
23519,Felsteel Helm,GEAR,DROP,1,4,8,50,1
23519,Felsteel Helm,GEAR,DROP,1,6,8,75,1
23519,Felsteel Helm,GEAR,DROP,1,5,8,62,1
10047,Simple Kilt,GEAR,TRAINER,1,398,548,72,1
10047,Simple Kilt,GEAR,TRAINER,1,382,548,69,1
10047,Simple Kilt,GEAR,TRAINER,1,398,548,72,1
10047,Simple Kilt,GEAR,TRAINER,1,382,548,69,1
10047,Simple Kilt,GEAR,TRAINER,1,398,548,72,1
10047,Simple Kilt,GEAR,TRAINER,1,382,548,69,1
10047,Simple Kilt,GEAR,TRAINER,1,398,548,72,1
10047,Simple Kilt,GEAR,TRAINER,1,382,548,69,1
10047,Simple Kilt,GEAR,TRAINER,1,398,548,72,1
10047,Simple Kilt,GEAR,TRAINER,1,382,548,69,1
10047,Simple Kilt,GEAR,TRAINER,1,398,548,72,1
10047,Simple Kilt,GEAR,TRAINER,1,382,548,69,1
6371,Fire Oil,INTERMEDIATE,TRAINER,10,49,64,76,1
6371,Fire Oil,INTERMEDIATE,TRAINER,1,47,64,73,1
23787,Felsteel Stabilizer,INTERMEDIATE,TRAINER,2,1,2,50,1
23787,Felsteel Stabilizer,INTERMEDIATE,TRAINER,3,1,2,50,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,3,91,96,94,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,6,86,96,89,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,6,75,96,78,1
44958,Ethereal Oil,INTERMEDIATE,TRAINER,8,74,96,77,1
6450,Silk Bandage,MISC,TRAINER,12,479,594,80,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,999,1424,70,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,979,1424,68,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,969,1424,68,1
4330,Stylish Red Shirt,GEAR,TRAINER,1,930,1424,65,1
